
                                   SUMMARY OF WATER BALANCE

                                                      CHANGE IN STORAGE
                       PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP   INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
 337  2   86    0.00    0.00   -0.01    0.00    0.00    0.00    0.00    0.33   30.90    0.00    0.00     0.0  -31.22
 337  3   86    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.36   30.90    0.00    0.00     0.0  -31.29
 337  4   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.32   30.90    0.00    0.00     0.0  -31.22
 337  5   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.30   30.90    0.00    0.00     0.0  -31.22
 337  6   86    0.00    0.00   -0.01    0.00    0.00    0.00    0.00    0.27   30.90    0.00    0.00     0.0  -31.16
 337  7   86    0.00    0.00   -0.03    0.00    0.00    0.00    0.00    0.25   30.90    0.00    0.00     0.0  -31.13
 337  8   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00    0.23   30.90    0.00    0.00     0.0  -31.15
 337  9   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.22   30.90    0.00    0.00     0.0  -31.12
 337 10   86    0.00    0.00   -0.01    0.00    0.00    0.00    0.00    0.20   30.90    0.00    0.00     0.0  -31.09
 337 11   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.18   30.90    0.00    0.00     0.0  -31.08
 337 12   86    0.00    0.00   -0.01    0.00    0.00    0.00    0.00    0.17   30.90    0.00    0.00     0.0  -31.05
 337 13   86    0.00    0.00   -0.03    0.00    0.00    0.00    0.00    0.15   30.90    0.00    0.00     0.0  -31.02
 337 14   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.14   30.90    0.00    0.00     0.0  -31.06
 337 15   86    0.00    0.00   -0.02    0.00    0.00    0.00    0.00    0.12   30.90    0.00    0.00     0.0  -31.00
 337 16   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.11   30.90    0.00    0.00     0.0  -31.04
 337 17   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.11   30.90    0.00    0.00     0.0  -31.02
 337 18   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00    0.10   30.90    0.00    0.00     0.0  -31.01
 337 19   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.09   30.90    0.00    0.00     0.0  -31.01
 337 20   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.17   30.90    0.00    0.00     0.0  -31.07
 337 21   86    0.00    0.00    0.05    0.00    0.00    0.00    0.00    1.77   30.90    0.00    0.00     0.1  -32.72
 337 22   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.40   30.90    0.00    0.00     0.1  -33.31
 337 23   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00    1.26   30.90    0.00    0.00     0.1  -32.17
 337 24   86    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.68   30.90    0.00    0.00     0.1  -31.62
 338  1   86    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.40   30.90    0.00    0.00     0.2  -31.33
 338  2   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00    0.26   30.90    0.00    0.00     0.2  -31.17
 338  3   86    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.17   30.90    0.00    0.00     0.2  -31.10
 338  4   86    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.12   30.90    0.00    0.00     0.3  -31.07
 338  5   86    0.00    0.00    0.06    0.00    0.00    0.00    0.00    0.09   30.90    0.00    0.00     0.3  -31.05
 338  6   86    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.07   30.90    0.00    0.00     0.4  -31.00
 338  7   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.05   30.90    0.00    0.00     0.4  -30.95
 338  8   86    0.00    0.00   -0.01    0.00    0.00    0.00    0.00    0.06   30.90    0.00    0.00     0.3  -30.94
 338  9   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00    0.02   30.90    0.00    0.00     0.4  -30.93
 338 10   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.03   30.90    0.00    0.00     0.4  -30.93
 338 11   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.02   30.90    0.00    0.00     0.4  -30.92
 338 12   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.02   30.90    0.00    0.00     0.4  -30.92
 338 13   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00    0.01   30.90    0.00    0.00     0.4  -30.92
 338 14   86    0.00    0.00    0.05    0.00    0.00    0.00    0.00    0.01   30.90    0.00    0.00     0.4  -30.96
 338 15   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.01   30.90    0.00    0.00     0.4  -30.91
 338 16   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.01   30.90    0.00    0.00     0.4  -30.93
 338 17   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.01   30.90    0.00    0.00     0.4  -30.91
 338 18   86    0.00    0.00    0.03    0.00    0.00    0.00    0.00    0.01   30.90    0.00    0.00     0.5  -30.94
 338 19   86    0.00    0.00    0.04    0.00    0.00    0.00    0.00    0.01   30.90    0.00    0.00     0.5  -30.94
 338 20   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.01   30.90    0.00    0.00     0.5  -30.92
 338 21   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00    0.01   30.90    0.00    0.00     0.5  -30.92
 338 22   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00    0.00   30.90    0.00    0.00     0.5  -30.92
 338 23   86    0.00    0.00    0.08    0.00    0.00    0.00    0.00    0.01   30.90    0.00    0.00     0.6  -30.98
 338 24   86    0.00    0.00    0.19    0.00    0.00    0.00    0.00    0.01   30.90    0.00    0.00     0.8  -31.10
 339  1   86    0.25    0.00    0.17    0.00    0.00    0.00    0.00    0.26   30.90    0.00    0.00     1.0  -31.08
 339  2   86    0.51    0.00    0.20    0.00    0.00    0.00    0.00    0.31   30.90    0.00    0.00     1.2  -30.90
 339  3   86    0.00    0.00    0.10    0.00    0.00    0.00    0.00   -0.10   30.90    0.00    0.00     1.3  -30.90
 339  4   86    0.25    0.00    0.08    0.00    0.00    0.00    0.00    0.18   30.90    0.00    0.00     1.4  -30.90
 339  5   86    0.51    0.00    0.02    0.00    0.00    0.00    0.00    0.49   30.90    0.00    0.00     1.4  -30.90
 339  6   86    0.25    0.00    0.03    0.00    0.00    0.00    0.00    0.22   30.90    0.00    0.00     1.4  -30.90
 339  7   86    0.51    0.00    0.06    0.00    0.00    0.00    0.00    0.45   30.90    0.00    0.00     1.5  -30.90
 339  8   86    0.25    0.00    0.05    0.00    0.00    0.00    0.00    0.20   30.90    0.00    0.00     1.5  -30.90
 339  9   86    0.76    0.00    0.01    0.00    0.00    0.00    0.00    0.75   30.90    0.00    0.00     1.5  -30.90
 339 10   86    0.51    0.00    0.00    0.00    0.00    0.00    0.00    0.51   30.90    0.00    0.00     1.5  -30.90
 339 11   86    0.76    0.00    0.02    0.00    0.00    0.00    0.00    0.30   30.90    0.00    0.00     1.6  -30.46
 339 12   86    0.51    0.00    0.03    0.00    0.00    0.00    0.00   -0.26   30.90    0.00    0.00     1.6  -30.16
 339 13   86    1.27    0.00    0.04    0.00    0.00    0.00    0.00    0.75   30.90    0.00    0.00     1.6  -30.42
 339 14   86    0.51    0.00    0.02    0.00    0.00    0.00    0.00   -0.74   30.90    0.00    0.00     1.7  -29.67
 339 15   86    1.02    0.00   -0.05    0.00    0.00    0.00    0.00    0.57   30.90    0.00    0.00     1.6  -30.41
 339 16   86    0.51    0.00   -0.04    0.00    0.00    0.00    0.00   -0.47   30.90    0.00    0.00     1.6  -29.89
 339 17   86    0.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00   30.90    0.00    0.00     1.6  -30.39
 339 18   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00   -0.50   30.90    0.00    0.00     1.6  -30.39
 339 19   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01   30.90    0.00    0.00     1.6  -30.90
 339 20   86    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04   30.90    0.00    0.00     1.6  -30.90
 339 21   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02   30.90    0.00    0.00     1.6  -30.90
 339 22   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01   30.90    0.00    0.00     1.7  -30.90
 339 23   86    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04   30.90    0.00    0.00     1.7  -30.90
 339 24   86    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04   30.90    0.00    0.00     1.7  -30.90
 340  1   86    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05   30.90    0.00    0.00     1.8  -30.90
 340  2   86    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03   30.90    0.00    0.00     1.8  -30.90
 340  3   86    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03   30.90    0.00    0.00     1.8  -30.90
 340  4   86    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04   30.90    0.00    0.00     1.9  -30.90
 340  5   86    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05   30.90    0.00    0.00     1.9  -30.90
 340  6   86    0.00    0.00    0.04    0.00    0.00    0.00    0.00   -0.04   30.90    0.00    0.00     2.0  -30.90
 340  7   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01   30.90    0.00    0.00     2.0  -30.90
 340  8   86    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03   30.90    0.00    0.00     2.0  -30.90
 340  9   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02   30.90    0.00    0.00     2.0  -30.90
 340 10   86    0.00    0.00   -0.01    0.00    0.00    0.00    0.00    0.02   30.90    0.00    0.00     2.0  -30.90
 340 11   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02   30.90    0.00    0.00     2.0  -30.90
 340 12   86    0.00    0.00   -0.01    0.00    0.00    0.00    0.00    0.01   30.90    0.00    0.00     2.0  -30.90
 340 13   86    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   30.90    0.00    0.00     2.0  -30.90
 340 14   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01   30.90    0.00    0.00     2.0  -30.90
 340 15   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02   30.90    0.00    0.00     2.0  -30.90
 340 16   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01   30.90    0.00    0.00     2.1  -30.90
 340 17   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01   30.90    0.00    0.00     2.1  -30.90
 340 18   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02   30.90    0.00    0.00     2.1  -30.90
 340 19   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01   30.90    0.00    0.00     2.1  -30.90
 340 20   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02   30.90    0.00    0.00     2.1  -30.90
 340 21   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00   -0.01   30.90    0.00    0.00     2.1  -30.90
 340 22   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.01   30.90    0.00    0.00     2.1  -30.91
 340 23   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.00   30.90    0.00    0.00     2.1  -30.92
 340 24   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.00   30.90    0.00    0.00     2.2  -30.92
 341  1   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.00   30.90    0.00    0.00     2.2  -30.92
 341  2   86    0.00    0.00    0.01    0.00    0.00    0.00    0.00    0.00   30.90    0.00    0.00     2.2  -30.91
 341  3   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.00   30.90    0.00    0.00     2.2  -30.92
 341  4   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.00   30.90    0.00    0.00     2.2  -30.92
 341  5   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.00   30.90    0.00    0.00     2.3  -30.92
 341  6   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.00   30.90    0.00    0.00     2.3  -30.92
